CPU_PIN,PORT_IDX,PORT_BIT,Analog,IRQ,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15,AF16,AF17,AF18,AF19,AF20,AF21,AF22,AF23,AF24,AF25,AF26,
P000,0,0,AN000,IRQ6-DS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001,0,1,AN001,IRQ7-DS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P002,0,2,AN002,IRQ8-DS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P003,0,3,AN007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P004,0,4,AN100,IRQ9-DS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P005,0,5,AN101,RQ10-DS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P006,0,6,AN102,IRQ11-DS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P007,0,7,AN107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P008,0,8,AN003,IRQ12-DS,Hi-Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
P009,0,9,AN004,IRQ13-DS,Hi-Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
P010,0,10,AN103,IRQ14-DS,Hi-Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P014,0,14,AN005,,Hi-Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
P015,0,15,AN006,IRQ13,Hi-Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
P100,1,0,,IRQ2,Hi-Z,AGTIO0,GTETRGA,GTIOC5B,RXD0/MISO0/SCL0,SCK1,MISOA_A,SCL1_B,KR00,,,D00[A00/D00],,,,,,,,,,,,,,LCD_EXTCLK_A,,
P101,1,1,,IRQ1,Hi-Z,AGTEE0,GTETRGB,GTIOC5A,TXD0/MOSI0/SDA0,CTS1_RTS1/SS1,MOSIA_A,SDA1_B,KR01,,,D01[A01/D01],,,,,,,,,,,,,,LCD_CLK_A,,
P102,1,2,,,Hi-Z,AGTO0,GTOWLO,GTIOC2B_A,SCK0,,RSPCKA_A,,KR02,,ADTRG0,D02[A02/D02],,,,,CRX0,,,,,,,,,LCD_TCON0_A,,
P103,1,3,,,Hi-Z,,GTOWUP,GTIOC2A_A,CTS0_RTS0/SS0,,SSLA0_A,,KR03,,,D03[A03/D03],,,,,CTX0,,,,,,,,,LCD_TCON1_A,,
P104,1,4,,IRQ1,Hi-Z,,GTETRGB,GTIOC1B,RXD8/MISO8/SCL8,,SSLA1_A,,KR04,,,D04[A04/D04],,,,,,,,,,,,,,LCD_TCON2_A,,
P105,1,5,,IRQ0,Hi-Z,,GTETRGA,GTIOC1A,TXD8/MOSI8/SDA8,,SSLA2_A,,KR05,,,D05[A05/D05],,,,,,,,,,,,,,LCD_TCON3_A,,
P106,1,6,,,Hi-Z,AGTOB0,,GTIOC8B,SCK8,,SSLA3_A,,KR06,,,D06[A06/D06],,,,,,,,,,,,,,LCD_DATA00_A,,
P107,1,7,,,Hi-Z,AGTOA0,,GTIOC8A,CTS8_RTS8/SS8,,,,KR07,,,D07[A07/D07],,,,,,,,,,,,,,LCD_DATA01_A,,
P108,1,8,,,TMS/SWDIO,,GTOULO,GTIOC0B_A,,CTS9_RTS9/SS9,SSLB0_B,,,,,,,,,,,,,,,,,,,,,
P109,1,9,,,TDO/SWO,,GTOVUP,GTIOC1A_A,,TXD9/MOSI9/SDA9,MOSIB_B,,,CLKOUT,,,,,,,CTX1,,,,,,,,,,,
P110,1,10,,IRQ3,TDI,,GTOVLO,GTIOC1B_A,CTS2_RTS2/SS2,RXD9/MISO9/SCL9,MISOB_B,,,VCOUT,,,,,,,CRX1,,,,,,,,,,,
P111,1,11,,IRQ4,Hi-Z,,,GTIOC3A_A,SCK2,SCK9,RSPCKB_B,,,,,A05,,,,,,,,,,,,,,LCD_DATA12_A,,
P112,1,12,,,Hi-Z,,,GTIOC3B_A,TXD2/MOSI2/SDA2,SCK1,SSLB0_B,,,,,A04,,,,,,,SSIBCK0_B,,,,,,,LCD_DATA11_A,,
P113,1,13,,,Hi-Z,,,GTIOC2A,RXD2/MISO2/SCL2,,,,,,,A03,,,,,,,SSILRCK0/SSIFS0_B,,,,,,,LCD_DATA10_A,,
P114,1,14,,,Hi-Z,,,GTIOC2B,,,,,,,,A02,,,,,,,SSIRXD0_B,,,,,,,LCD_DATA09_A,,
P115,1,15,,,Hi-Z,,,GTIOC4A,,,,,,,,A01,,,,,,,SSITXD0_B,,,,,,,LCD_DATA08_A,,
P200,2,0,,NMI,Hi-Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
P201,2,1,,,Hi-Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
P202,2,2,,IRQ3-DS,Hi-Z,,,GTIOC5B,SCK2,RXD9/MISO9/SCL9,MISOB_A,,,,,WR1/BC1,,,,,CRX0,,,,,SD0DAT6_A,ET0_ERXD2,,,LCD_TCON3_B,,
P203,2,3,,IRQ2-DS,Hi-Z,,,GTIOC5A,CTS2_RTS2/SS2,TXD9/MOSI9/SDA9,MOSIB_A,,,,,A19,TSCAP,,,,CTX0,,,,,SD0DAT5_A,ET0_COL,,,,,
P204,2,4,,,Hi-Z,AGTIO1,GTIW,GTIOC4B,SCK4,SCK9,RSPCKB_A,SCL0_B,,,CACREF,A18,TS00,,,,,,SSIBCK1_A,USB_OVRCURB-DS,,SD0DAT4_A ,ET0_RX_DV,,,,,
P205,2,5,,IRQ1-DS,Hi-Z,AGTO1,GTIV,GTIOC4A,TXD4/MOSI4/SDA4,CTS9_RTS9/SS9,SSLB0_A,SCL1_A,,CLKOUT,,A16,TSCAP,,,,,,SSILRCK1/SSIFS1_A,USB_OVRCURA-DS,,SD0DAT3_A,ET0_WOL,ET0_WOL,,,,
P206,2,6,,IRQ0-DS,Hi-Z,,GTIU,,RXD4/MISO4/SCL4,,SSLB1_A,SDA1_A,,,,WAIT,TS01,,,,,,SSIDATA1_A,USB_VBUSEN,,SD0DAT2_A,ET0_LINKSTA,ET0_LINKSTA,,,,
P207,2,7,,,Hi-Z,,,,,,SSLB2_A,,,,,A17,TS02,,,,,QSSL,,,,,,,,LCD_DATA23_B,,
P208,2,8,,,Hi-Z,,GTOVL0,,,,,,,,,,,,,,,QIO3,,,,SD0DAT0_B,ET0_LINKST,ET0_LINKST,,LCD_DATA18_B,TDATA3,
P209,2,9,,,Hi-Z,,GTOVUP,,,,,,,,,,,,,,,QIO2,,,,SD0WP,ET0_EXOUT,ET0_EXOUT,,LCD_DATA19_B,TDATA2,
P210,2,10,,,Hi-Z,,GTIW,,,,,,,,,,,,,,,QIO1,,,,SD0CD,ET0_WOL,ET0_WOL,,LCD_DATA20_B,TDATA1,
P211,2,11,,,Hi-Z,,GTIV,,,,,,,,,,,,,,,QIO0,,,,SD0CMD_B,ET0_MDIO,ET0_MDIO,,LCD_DATA21_B,TDATA0,
P212,2,12,,IRQ3,Hi-Z,AGTEE1,GTETRGD,GTIOC0B,,RXD1/MISO1/SCL1,,,,,,,,,,,,,,,,,,,,,,
P213,2,13,,IRQ2,Hi-Z,,GTETRGC,GTIOC0A,,TXD1/MOSI1/SDA1,,,,,ADTRG1,,,,,,,,,,,,,,,,,
P214,2,14,,,Hi-Z,,GTIU,,,,,,,,,,,,,,,QSPCLK,,,,SD0CLK_B,ET0_MDC,ET0_MDC,,LCD_DATA22_B, TCLK,
-,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P300,3,0,,,TCK/SWCLK,,,GTIOC0A_A,,,SSLB1_B,,,,,,,,,,,,,,,,,,,,,
P301,3,1,,IRQ6,Hi-Z,AGTIO0,GTOULO,GTIOC4B,RXD2/MISO2/SCL2,CTS9_RTS9/SS9,SSLB2_B,,,,,A06,,,,,,,,,,,,,,LCD_DATA13_A,,
P302,3,2,,IRQ5,Hi-Z,,GTOUUP,GTIOC4A,TXD2/MOSI2/SDA2,,SSLB3_B,,,,,A07,,,,,,,,,,,,,,LCD_DATA14_A,,
P303,3,3,,,Hi-Z,,,GTIOC7B,,,,,,,,A08,,,,,,,,,,,,,,LCD_DATA15_A,,
P304,3,4,,IRQ9,Hi-Z,,GTOWLO,GTIOC7A,RXD6/MISO6/SCL6,,,,,,,A09,,,,,,,,,,,,,,LCD_DATA16_A,,
P305,3,5,,IRQ8,Hi-Z,,GTOWUP,,TXD6/MOSI6/SDA6,,,,,,,A10,,,,,,QSPCLK,,,,,,,,LCD_DATA17_A,,
P306,3,6,,,Hi-Z,,GTOULO,,SCK6,,,,,,,A11,,,,,,QSSL,,,,,,,,LCD_DATA18_A,,
P307,3,7,,,Hi-Z,,GTOUUP,,CTS6_RTS6/SS6,,,,,,,A12,,,,,,QIO0,,,,,,,,LCD_DATA19_A,,
P308,3,8,,,Hi-Z,,,,,,,,,,,A13,,,,,,QIO1,,,,,,,,LCD_DATA20_A,,
P309,3,9,,,Hi-Z,,,,,RXD3,,,,,,A14,,,,,,QIO2,,,,,,,,LCD_DATA21_A,,
P310,3,10,,,Hi-Z,AGTEE1,,,,TXD3,,,,,,A15,,,,,,QIO3,,,,,,,,LCD_DATA22_A,,
P311,3,11,,,Hi-Z,AGTOB1,,,,SCK3,,,,,,CS2/RAS,,,,,,,,,,,,,,LCD_DATA23_A,,
P312,3,12,,,Hi-Z,AGTOA1,,,,CTS3_RTS3/SS3,,,,,,CS3/CAS,,,,,,,,,,,,,,,,
P313,3,13,,,Hi-Z,,,,,,,,,,,A20,,,,,,,,,,SD0DAT7_A,ET0_ERXD3,,,LCD_TCON2_B,,
P314,3,14,,,Hi-Z,,,,,,,,,,ADTRG0,A21,,,,,,,,,,,,,,LCD_TCON1_B,,
P315,3,15,,,Hi-Z,,,,RXD4,,,,,,,A22,,,,,,,,,,,,,,LCD_TCON0_B,,
P400,4,0,,IRQ0,Hi-Z,AGTIO1,,GTIOC6A,SCK4,SCK7,,SCL0_A,,,ADTRG1,,,,,,,,AUDIO_CLK,,,,ET0_WOL,ET0_WOL,,,,
P401,4,1,,IRQ5-DS,Hi-Z,,GTETRGA,GTIOC6B,CTS4_RTS4/SS4,TXD7/MOSI7/SDA7,,SDA0_A,,,,,,,,,CTX0,,,,,,ET0_MDC,ET0_MDC,,,,
P402,4,2,,IRQ4-DS,Hi-Z,,,,,RXD7/MISO7/SCL7,,,,,CACREF,,,,,,CRX0,,AUDIO_CLK,,,,ET0_MDIO,ET0_MDIO,VSYNC,,,
P403,4,3,,,Hi-Z,,,GTIOC3A,,CTS7_RTS7/SS7,,,,,,,,,,,,,SSIBCK0_A,,,SD1DAT7_B,ET0_LINKSTA,ET0_LINKSTA,PIXD7,,,
P404,4,4,,,Hi-Z,,,GTIOC3B,,,,,,,,,,,,,,,SSILRCK0/SSIFS0_A,,,SD1DAT6_B,ET0_EXOUT,ET0_EXOUT,PIXD6,,,
P405,4,5,,,Hi-Z,,,GTIOC1A,,,,,,,,,,,,,,,SSITXD0_A,,,SD1DAT5_B,ET0_TX_EN,RMII0_TXD_EN_B,PIXD5,,,
P406,4,6,,,Hi-Z,,,GTIOC1B,,,SSLB3_C,,,,,,,,,,,,SSIRXD0_A,,,SD1DAT4_B,ET0_RX_ER,RMII0_TXD1_B,PIXD4,,,
P407,4,7,,,Hi-Z,AGTIO0,,,CTS4_RTS4/SS4,,SSLB3_A,SDA0_B,,RTCOUT,ADTRG0,,TS03,,,,,,,USB_VBUS,,,ET0_EXOUT,ET0_EXOUT,,,,
P408,4,8,,IRQ7,Hi-Z,,GTOWLO,GTIOC10B,,RXD3/MISO3/SCL3,,SCL0_B,,,,,TS04,,,,,,,USB_ID,,,ET0_CRS,RMII0_CRS_DV_A,PIXCLK,,,
