Port ,Pin ,AF0          ,AF1              ,AF2     ,AF3         ,AF4      ,AF5                   ,AF6              ,AF7               ,AF8           ,AF9                  ,AF10           ,AF11                           ,AF12                ,AF13      ,AF14,AF15    ,ADC
     ,    ,SYS          ,TIM1/2           ,TIM3/4/5,TIM8/9/10/11,I2C1/2/3 ,SPI1/SPI2/I2S2/I2S2ext,SPI3/I2Sext/I2S3 ,USART1/2/3/I2S3ext,UART4/5/USART6,CAN1/CAN2/TIM12/13/14,OTG_FS/OTG_HS  ,ETH                            ,FSMC/SDIO/OTG_FS    ,DCMI      ,    ,        ,ADC
PortA,PA0 ,             ,TIM2_CH1/TIM2_ETR,TIM5_CH1,TIM8_ETR    ,         ,                      ,                 ,USART2_CTS        ,UART4_TX      ,                     ,               ,ETH_MII_CRS                    ,                    ,          ,    ,EVENTOUT,ADC123_IN0
PortA,PA1 ,             ,TIM2_CH2         ,TIM5_CH2,            ,         ,                      ,                 ,USART2_RTS        ,UART4_RX      ,                     ,               ,ETH_MII_RX_CLK/ETH_RMII_REF_CLK,                    ,          ,    ,EVENTOUT,ADC123_IN1
PortA,PA2 ,             ,TIM2_CH3         ,TIM5_CH3,TIM9_CH1    ,         ,                      ,                 ,USART2_TX         ,              ,                     ,               ,ETH_MDIO                       ,                    ,          ,    ,EVENTOUT,ADC123_IN2
PortA,PA3 ,             ,TIM2_CH4         ,TIM5_CH4,TIM9_CH2    ,         ,                      ,                 ,USART2_RX         ,              ,                     ,OTG_HS_ULPI_D0 ,ETH_MII_COL                    ,                    ,          ,    ,EVENTOUT,ADC123_IN3
PortA,PA4 ,             ,                 ,        ,            ,         ,SPI1_NSS              ,SPI3_NSS/I2S3_WS ,USART2_CK         ,              ,                     ,               ,                               ,OTG_HS_SOF          ,DCMI_HSYNC,    ,EVENTOUT,ADC12_IN4
PortA,PA5 ,             ,TIM2_CH1/TIM2_ETR,        ,TIM8_CH1N   ,         ,SPI1_SCK              ,                 ,                  ,              ,                     ,OTG_HS_ULPI_CK ,                               ,                    ,          ,    ,EVENTOUT,ADC12_IN5
PortA,PA6 ,             ,TIM1_BKIN        ,TIM3_CH1,TIM8_BKIN   ,         ,SPI1_MISO             ,                 ,                  ,              ,TIM13_CH1            ,               ,                               ,                    ,DCMI_PIXCK,    ,EVENTOUT,ADC12_IN6
PortA,PA7 ,             ,TIM1_CH1N        ,TIM3_CH2,TIM8_CH1N   ,         ,SPI1_MOSI             ,                 ,                  ,              ,TIM14_CH1            ,               ,ETH_MII_RX_DV/ETH_RMII_CRS_DV  ,                    ,          ,    ,EVENTOUT,ADC12_IN7
PortA,PA8 ,MCO1         ,TIM1_CH1         ,        ,            ,I2C3_SCL ,                      ,                 ,USART1_CK         ,              ,                     ,OTG_FS_SOF     ,                               ,                    ,          ,    ,EVENTOUT,
PortA,PA9 ,             ,TIM1_CH2         ,        ,            ,I2C3_SMBA,                      ,                 ,USART1_TX         ,              ,                     ,               ,                               ,                    ,DCMI_D0   ,    ,EVENTOUT,
PortA,PA10,             ,TIM1_CH3         ,        ,            ,         ,                      ,                 ,USART1_RX         ,              ,                     ,OTG_FS_ID      ,                               ,                    ,DCMI_D1   ,    ,EVENTOUT,
PortA,PA11,             ,TIM1_CH4         ,        ,            ,         ,                      ,                 ,USART1_CTS        ,              ,CAN1_RX              ,OTG_FS_DM      ,                               ,                    ,          ,    ,EVENTOUT,
PortA,PA12,             ,TIM1_ETR         ,        ,            ,         ,                      ,                 ,USART1_RTS        ,              ,CAN1_TX              ,OTG_FS_DP      ,                               ,                    ,          ,    ,EVENTOUT,
PortA,PA13,JTMS/SWDIO   ,                 ,        ,            ,         ,                      ,                 ,                  ,              ,                     ,               ,                               ,                    ,          ,    ,EVENTOUT,
PortA,PA14,JTCK/SWCLK   ,                 ,        ,            ,         ,                      ,                 ,                  ,              ,                     ,               ,                               ,                    ,          ,    ,EVENTOUT,
PortA,PA15,JTDI         ,TIM2_CH1/TIM2_ETR,        ,            ,         ,SPI1_NSS              ,SPI3_NSS/I2S3_WS ,                  ,              ,                     ,               ,                               ,                    ,          ,    ,EVENTOUT,
PortB,PB0 ,             ,TIM1_CH2N        ,TIM3_CH3,TIM8_CH2N   ,         ,                      ,                 ,                  ,              ,                     ,OTG_HS_ULPI_D1 ,ETH_MII_RXD2                   ,                    ,          ,    ,EVENTOUT,ADC12_IN8
PortB,PB1 ,             ,TIM1_CH3N        ,TIM3_CH4,TIM8_CH3N   ,         ,                      ,                 ,                  ,              ,                     ,OTG_HS_ULPI_D2 ,ETH_MII_RXD3                   ,                    ,          ,    ,EVENTOUT,ADC12_IN9
PortB,PB2 ,             ,                 ,        ,            ,         ,                      ,                 ,                  ,              ,                     ,               ,                               ,                    ,          ,    ,EVENTOUT,
PortB,PB3 ,JTDO/TRACESWO,TIM2_CH2         ,        ,            ,         ,SPI1_SCK              ,SPI3_SCK/I2S3_CK ,                  ,              ,                     ,               ,                               ,                    ,          ,    ,EVENTOUT,
